name,price,item_id,category,description,image_url
Christian Yelich Milwaukee Brewers Autographed Replica Jersey - JSA COA,$99.99,25122007912,Jerseys,"['Sport:Baseball', 'Product:Jersey', 'Original/Reprint:Original', 'Player:Christian Yelich', 'Team:Milwaukee Brewers', 'Autograph Authentication:James Spence Authentication (JSA)', 'Signed:Yes']","['https://assets.pawnamerica.com/ProductImages//554cd984-db32-4e34-bd6a-5e3763b09d49.jpg', 'https://assets.pawnamerica.com/ProductImages//acbd2b91-7f80-484c-b3c0-ea6e3b85f239.jpg', 'https://assets.pawnamerica.com/ProductImages//99f1fd30-dd33-45a2-8417-73ab354cdaad.jpg', 'https://assets.pawnamerica.com/ProductImages//75b94af6-ea5d-4d7b-9a6c-de503075e2db.jpg', 'https://assets.pawnamerica.com/ProductImages//e8af546b-4d11-4e03-a49d-880f4627a860.jpg', 'https://assets.pawnamerica.com/ProductImages//748854b0-33c3-4ac7-9af4-644d2b5dd7dc.jpg']"
Justin Jefferson Auto MN Vikings Beckett Witnessed 26x22 Framed Print - Pick-Up,$329.99,24322046350,Photos,"['Sport:Football', 'Product:Photo', 'Original/Reprint:Original', 'Player:Justin Jefferson', 'Team:Minnesota Vikings', 'Autograph Authentication:Beckett Authentication Services (BAS)', 'Signed:Yes']","['https://assets.pawnamerica.com/ProductImages//6104e7b9-9626-406d-8ff5-22311994d225.jpg', 'https://assets.pawnamerica.com/ProductImages//2ff0a74a-2025-4076-ba57-f980b56adc7e.JPG', 'https://assets.pawnamerica.com/ProductImages//ccaf9c58-9797-4792-a058-3be347a264c6.JPG', 'https://assets.pawnamerica.com/ProductImages//ce5018d5-2ef8-4971-b323-65fca5fdc0a5.JPG', 'https://assets.pawnamerica.com/ProductImages//aa408c1b-8d4b-481c-bac8-ecc7a2f6c70b.JPG', 'https://assets.pawnamerica.com/ProductImages//34d5419c-3985-4325-9171-8c272d9372c8.JPG', 'https://assets.pawnamerica.com/ProductImages//36b7f70c-5d37-4e44-95cf-29efdd767977.JPG']"
Medallion Series NFL Framed Miami Hurricanes NFL Quarterbacks Lithograph / COA,$199.99,23622037412,Lithographs,"['Sport:Football', 'Officially Licensed:Yes']","['https://assets.pawnamerica.com/ProductImages//b5ee0be1-cf79-4de6-ba8a-61014d1a7bae.JPG', 'https://assets.pawnamerica.com/ProductImages//81f05d82-ebd6-4232-8219-ee151be51bbf.JPG', 'https://assets.pawnamerica.com/ProductImages//046e5506-70ac-4961-b196-bee7c34e1ca6.JPG', 'https://assets.pawnamerica.com/ProductImages//d98c0bf4-70f6-4491-9dca-818cc902979e.JPG', 'https://assets.pawnamerica.com/ProductImages//52ad9225-b349-4358-8e8c-0421316b1be1.JPG', 'https://assets.pawnamerica.com/ProductImages//02d45ad0-e7ff-4104-b72b-495021ead49f.JPG', 'https://assets.pawnamerica.com/ProductImages//8071c605-90f1-4e30-b6d1-37ea3c2cff10.JPG', 'https://assets.pawnamerica.com/ProductImages//de7c1a1d-a179-48f3-80de-3471e12ee640.JPG', 'https://assets.pawnamerica.com/ProductImages//d5abe5c2-18d2-4a04-9b19-3d3b309cf96f.JPG', 'https://assets.pawnamerica.com/ProductImages//3c84deaf-a70f-446f-9349-48283c06da48.JPG', 'https://assets.pawnamerica.com/ProductImages//14f811d0-e5d6-4eef-9245-0418ad730d69.JPG', 'https://assets.pawnamerica.com/ProductImages//905859b3-ed7e-4cee-8956-a3322ccc0368.JPG', 'https://assets.pawnamerica.com/ProductImages//a55f4194-5679-4111-9d54-f59233c3ac02.JPG', 'https://assets.pawnamerica.com/ProductImages//22bd2501-c429-45fc-9ef5-53e979672d32.JPG', 'https://assets.pawnamerica.com/ProductImages//2f5131e6-6574-4324-9591-c5269dcf933b.JPG', 'https://assets.pawnamerica.com/ProductImages//a4885039-cade-4b64-add9-8c8a626dc31d.JPG', 'https://assets.pawnamerica.com/ProductImages//5b63e7b6-2e8e-496a-8015-641a77ab98f1.JPG', 'https://assets.pawnamerica.com/ProductImages//89531a14-593e-497c-983a-4d90bd1115b8.JPG', 'https://assets.pawnamerica.com/ProductImages//b2f5574f-9c81-4a49-8743-04064c526ef8.JPG', 'https://assets.pawnamerica.com/ProductImages//6b530b06-be87-4e0a-81bf-53c23d990186.JPG', 'https://assets.pawnamerica.com/ProductImages//11f467d8-c795-4848-8695-4c826f489d88.JPG', 'https://assets.pawnamerica.com/ProductImages//61302e95-7d91-4ce4-8bc9-3c01d67b081f.JPG']"
Justin Jefferson Auto Beckett Witnessed MN Vikings NFL Riddell Helmet Replica,$379.99,24321037464,Helmets,"['Sport:Football', 'Product:Helmet', 'Original/Reprint:Original', 'Player:Justin Jefferson', 'Team:Minnesota Vikings', 'Autograph Authentication:Beckett', 'Signed:Yes']","['https://assets.pawnamerica.com/ProductImages//b9dc0352-3db9-4e0f-a6fb-5c600cf197fe.jpg', 'https://assets.pawnamerica.com/ProductImages//bf74b9b9-8d8e-4fdd-9c4b-08704b85c318.JPG', 'https://assets.pawnamerica.com/ProductImages//f56ea915-9d6b-4eb7-b4eb-0216b1617c76.JPG', 'https://assets.pawnamerica.com/ProductImages//66d9bf58-c3ac-45ee-994c-bfb374c21564.JPG', 'https://assets.pawnamerica.com/ProductImages//bd79f5c6-3641-42d3-af9f-404a92e9e7cd.JPG', 'https://assets.pawnamerica.com/ProductImages//330bfaf7-8f52-4fb9-b601-c8d2607c5d3a.JPG', 'https://assets.pawnamerica.com/ProductImages//0bb4a5b9-526b-435c-be48-7e7fef8e3a53.JPG', 'https://assets.pawnamerica.com/ProductImages//89b98de2-67a4-420a-b935-8144be541681.JPG', 'https://assets.pawnamerica.com/ProductImages//d537f260-ca5a-46db-bbe1-70b6af32e3a1.JPG', 'https://assets.pawnamerica.com/ProductImages//b9d1ba51-9f4c-4903-be12-a965a6b560cc.JPG', 'https://assets.pawnamerica.com/ProductImages//3dc497c6-20f7-47ea-a03a-7c64218d5f01.JPG', 'https://assets.pawnamerica.com/ProductImages//f5b9275e-4ef5-49cd-b38f-513b539539f4.JPG', 'https://assets.pawnamerica.com/ProductImages//4d7420c4-ac22-4e4c-9aa0-2a5b4a2f6d29.JPG', 'https://assets.pawnamerica.com/ProductImages//5b015ff8-cd95-40b0-86bb-0e2bc62d3687.JPG']"
Harrison Smith Auto Beckett Witnessed Salute To Service Vikings Helmet Replica,$299.99,24321037465,Helmets,"['Sport:Football', 'Product:Helmet', 'Original/Reprint:Original', 'Player:Harrison Smith', 'Team:Minnesota Vikings', 'Autograph Authentication:Beckett', 'Signed:Yes']","['https://assets.pawnamerica.com/ProductImages//49025ded-17c5-4b13-a4f3-5804c939d9e1.jpg', 'https://assets.pawnamerica.com/ProductImages//91d84db4-d0a5-4a8a-8b44-3777ef0b8f6b.JPG', 'https://assets.pawnamerica.com/ProductImages//f67123a8-0e03-4e5f-8daa-25c87234935e.JPG', 'https://assets.pawnamerica.com/ProductImages//12a43885-c43c-43ee-97ab-9184d572e3d3.JPG', 'https://assets.pawnamerica.com/ProductImages//b00bb2f1-1ffa-42f9-bfe4-1a92b6a57f96.JPG', 'https://assets.pawnamerica.com/ProductImages//5f6f6da5-0cde-4a63-a49a-81d8d8e8bcd9.JPG', 'https://assets.pawnamerica.com/ProductImages//646ed7fa-9d45-40a9-b025-c31379111cbf.JPG', 'https://assets.pawnamerica.com/ProductImages//43382896-a82e-4e4e-9186-d2459022e2aa.JPG', 'https://assets.pawnamerica.com/ProductImages//818f248f-d610-4699-b497-978577057e95.JPG', 'https://assets.pawnamerica.com/ProductImages//fbb18263-10c7-4025-867a-d28042249107.JPG', 'https://assets.pawnamerica.com/ProductImages//90c2a1dc-9601-4c97-965a-2144f0feab70.JPG', 'https://assets.pawnamerica.com/ProductImages//aa63c064-9065-4f81-a2e1-0d52b9a8b355.JPG', 'https://assets.pawnamerica.com/ProductImages//04b71819-2887-47c3-a2a8-6f0c6f4fcf6b.JPG', 'https://assets.pawnamerica.com/ProductImages//3157ac0d-2aa3-4aec-af4d-25ca8285015c.JPG', 'https://assets.pawnamerica.com/ProductImages//b497436c-7674-4bc6-af8d-7cbefc34785f.JPG']"
Justin Jefferson Auto #18 MN Vikings White Beckett Witnessed Size L NFL Jersey,$299.99,24321037466,Jerseys,"['Sport:Football-NFL', 'Product:Jersey', 'Original/Reprint:Original', 'Player:Justin Jefferson', 'Team:Minnesota Vikings', 'Autograph Authentication:Beckett', 'Country/Region of Manufacture:Guatemala', 'Signed:Yes']","['https://assets.pawnamerica.com/ProductImages//fbb34195-b6c6-46c0-b2aa-938a5dc278b8.jpg', 'https://assets.pawnamerica.com/ProductImages//2804dab2-7553-4dc1-8741-05d4f930e3bd.JPG', 'https://assets.pawnamerica.com/ProductImages//7c252de7-5260-4b99-a476-9ca8e3e21de5.JPG', 'https://assets.pawnamerica.com/ProductImages//5fe59b82-29d0-41c8-8871-291ec8d2617d.JPG', 'https://assets.pawnamerica.com/ProductImages//fc4bfb4d-2d58-4c4b-aa69-63d1333fe938.JPG', 'https://assets.pawnamerica.com/ProductImages//7f6556eb-c0ac-454e-9221-e06ee2072997.JPG', 'https://assets.pawnamerica.com/ProductImages//89c55150-1976-4e01-85c1-2e284d0216e6.jpg', 'https://assets.pawnamerica.com/ProductImages//edd5204c-fb39-4815-bee8-da6dc2600301.JPG', 'https://assets.pawnamerica.com/ProductImages//6cdb792c-f71e-45dd-bece-5d4c09b4bd91.JPG']"
John Randle Autographed #93 MN Vikings NFL Size 44(L)  Jersey -Not Authenticated,$199.99,24321037545,Jerseys,"['Sport:Football-NFL', 'Product:Jersey', 'Original/Reprint:Original', 'Player:John Randle', 'Team:Minnesota Vikings', 'Autograph Authentication:None', 'Country/Region of Manufacture:Vietnam', 'Signed:Yes']","['https://assets.pawnamerica.com/ProductImages//33b82cd2-c588-4337-9bfe-43495142297d.jpg', 'https://assets.pawnamerica.com/ProductImages//310055d8-a16b-4737-b29b-047ecdad4318.JPG', 'https://assets.pawnamerica.com/ProductImages//c1c0bb87-2a16-459a-944e-a263fa3bc521.JPG', 'https://assets.pawnamerica.com/ProductImages//135203d4-4420-4135-b55b-985c1799db24.JPG', 'https://assets.pawnamerica.com/ProductImages//ab3b07f3-c537-4aa2-96f5-d6be94307fa3.JPG', 'https://assets.pawnamerica.com/ProductImages//f29fffb6-65cf-4ea4-b03e-535e81a6d85f.JPG', 'https://assets.pawnamerica.com/ProductImages//29746139-df7c-4534-a09b-abe7d2abdfcd.JPG', 'https://assets.pawnamerica.com/ProductImages//15d753b6-0d61-413e-99d6-49bf70a435ea.JPG', 'https://assets.pawnamerica.com/ProductImages//49689003-b973-4ff1-8eb0-041a43dea150.JPG', 'https://assets.pawnamerica.com/ProductImages//454f47a5-6261-4532-b327-cf79d0d89857.JPG', 'https://assets.pawnamerica.com/ProductImages//54318cdc-ac43-42c0-acd8-d13aaad91f2e.JPG', 'https://assets.pawnamerica.com/ProductImages//d1482499-6a6b-43b8-9501-2e521f79b80a.JPG', 'https://assets.pawnamerica.com/ProductImages//6ee0335f-1eac-4a52-8f92-457bd672cae0.JPG', 'https://assets.pawnamerica.com/ProductImages//260d5fdc-e4d5-4f33-a815-cbedc7ae601d.JPG', 'https://assets.pawnamerica.com/ProductImages//fc892c44-eaaf-4418-8f9f-125b7056ba8d.JPG']"
Krill Kaprizov Autographed #97 Beckett Witnessed MN Wild Size XL Hockey Jersey,$249.99,24321037468,Jerseys,"['Sport:Hockey-NHL', 'Product:Jersey', 'Original/Reprint:Original', 'Player:Krill Kaprizov', 'Team:Minnesota Wild', 'Autograph Authentication:Beckett Authentication Services (BAS)', 'Country/Region of Manufacture:Philippines', 'Signed:Yes']","['https://assets.pawnamerica.com/ProductImages//12c041ab-8f80-4fc5-bb51-a7478dfd7fc3.JPG', 'https://assets.pawnamerica.com/ProductImages//942d59ae-2564-4b04-a61e-cc8396ab5447.JPG', 'https://assets.pawnamerica.com/ProductImages//dada245d-0795-47c8-8521-42435ad093b5.JPG', 'https://assets.pawnamerica.com/ProductImages//b26800f2-7024-4bb4-9662-45426ea41e29.JPG', 'https://assets.pawnamerica.com/ProductImages//4f533cd6-e38e-4693-8a6a-53712e5e7df7.JPG', 'https://assets.pawnamerica.com/ProductImages//56eb1b1c-18ea-4ee6-b8ae-c4df55694324.JPG', 'https://assets.pawnamerica.com/ProductImages//b2f21e25-739a-436a-9bc2-17dc7b0a7529.JPG', 'https://assets.pawnamerica.com/ProductImages//e96a4494-b2ac-4c2b-b046-eaf5497d3015.JPG', 'https://assets.pawnamerica.com/ProductImages//4397e7e6-500f-4e98-b4b9-a439ad90a807.JPG', 'https://assets.pawnamerica.com/ProductImages//b1b64073-3727-4013-aabe-14ee45accd06.JPG', 'https://assets.pawnamerica.com/ProductImages//16cdef25-b5f4-4528-afae-c974969f1853.JPG', 'https://assets.pawnamerica.com/ProductImages//b5ffba4b-96c5-47bc-9ee7-4ea0bf059914.JPG', 'https://assets.pawnamerica.com/ProductImages//dd729047-4bb1-4857-b871-138e16d624a6.JPG']"
Wilson NFL Authentic Football Signed by Troy Aikman With COA,$99.99,23123026185,Football-NFL,"['Player:Troy Aikman', 'Sport:Football', 'League:Nfl', 'Product:Football', 'Brand:Wilson', 'Category:Sports Mem - Cards & Fan Shop > Fan Apparel & Souvenirs > Football-NFL']","['https://assets.pawnamerica.com/ProductImages//1883e543-b3f6-4fb9-9176-18452ef32eaa.jpg', 'https://assets.pawnamerica.com/ProductImages//5cb0b124-ba3f-41c0-91b7-69913eda91ed.jpg', 'https://assets.pawnamerica.com/ProductImages//d7ad9983-297f-4474-aad4-6b231a9d9ecd.jpg', 'https://assets.pawnamerica.com/ProductImages//3733e81b-96d4-4205-a84a-c33202b49e0b.jpg', 'https://assets.pawnamerica.com/ProductImages//5914182d-462f-4e42-86a4-9c15189cca03.jpg', 'https://assets.pawnamerica.com/ProductImages//e8d641f0-bd49-484e-90f0-794e8317d376.jpg']"
Brandon Williams Baltimore Ravens Autographed Jersey With COA,$99.99,23123026187,Football-NFL,"['Player:Brandon Williams', 'Sport:Football', 'Color:Purple', 'League:Nfl', 'Product:Jersey', 'Brand:Nike', 'Size:52', 'Team:Baltimore Ravens', 'Category:Sports Mem - Cards & Fan Shop > Fan Apparel & Souvenirs > Football-NFL']","['https://assets.pawnamerica.com/ProductImages//1a57025a-3c29-4dd8-801a-3729947d6ec1.jpg', 'https://assets.pawnamerica.com/ProductImages//34355b26-5f43-4758-89cf-4873a8c102c8.jpg', 'https://assets.pawnamerica.com/ProductImages//c6a5fa4c-fec9-48ec-abbc-99f8361b75ca.jpg', 'https://assets.pawnamerica.com/ProductImages//03c2e29e-5573-4a34-9c9d-0fba3cb044f9.jpg', 'https://assets.pawnamerica.com/ProductImages//77123094-4b25-4675-923e-0a72160add62.jpg', 'https://assets.pawnamerica.com/ProductImages//c45d9782-1bc5-4ff6-8b9f-53f10720729d.jpg', 'https://assets.pawnamerica.com/ProductImages//583010a9-6abe-41b1-942c-5711d32995f3.jpg', 'https://assets.pawnamerica.com/ProductImages//d8e9765a-05f7-490e-94a6-0138ea55e8e2.jpg', 'https://assets.pawnamerica.com/ProductImages//944c9e3d-6ec0-410d-bbc0-24291666fd50.jpg', 'https://assets.pawnamerica.com/ProductImages//651d907d-f5a1-4557-bf05-4503aefc556f.jpg']"
Tyrann Mathieu Signed Arizona Cardinals NFL Jersey #32,$99.99,23123026189,Football-NFL,"['Player:Tyrann Mathieu', 'Sport:Football', 'Color:Red', 'League:Nfl', 'Product:Jersey', 'Brand:NFL', 'Gender:Men', 'Size:M', 'Team:Arizona Cardinals', 'Category:Sports Mem - Cards & Fan Shop > Fan Apparel & Souvenirs > Football-NFL']","['https://assets.pawnamerica.com/ProductImages//af717a5d-fd75-4302-b5be-35cec6467950.jpg', 'https://assets.pawnamerica.com/ProductImages//5c7cbb1c-e0a6-4153-89ec-6f1ac213431f.jpg', 'https://assets.pawnamerica.com/ProductImages//8e0a5d75-3b90-4a55-a871-86cd8f865927.jpg', 'https://assets.pawnamerica.com/ProductImages//5959b838-a5a2-4940-9511-817c04545aea.jpg', 'https://assets.pawnamerica.com/ProductImages//90de2930-f6a2-4d1d-a963-2f016ce8482d.jpg']"
Kyle Rudolph Autographed Minnesota Vikings Jersey With COA,$99.99,23123026186,Football-NFL,"['Player:Kyle Rudolph', 'Sport:Football', 'Color:Purple', 'League:Nfl', 'Product:Jersey', 'Brand:Nike', 'Gender:Mens', 'Size:48', 'Team:Minnesota Vikings', 'Category:Sports Mem - Cards & Fan Shop > Fan Apparel & Souvenirs > Football-NFL']","['https://assets.pawnamerica.com/ProductImages//43bd14ff-c855-4d67-bc40-42bca69ef567.jpg', 'https://assets.pawnamerica.com/ProductImages//fdea2ef9-2e3d-4dc5-9684-b6dd7850e419.jpg', 'https://assets.pawnamerica.com/ProductImages//bb87b39e-9673-4594-8928-ef0205e7d85f.jpg', 'https://assets.pawnamerica.com/ProductImages//b9f002bf-5ba7-490d-955a-8a648fcac818.jpg', 'https://assets.pawnamerica.com/ProductImages//e7fd43e0-a200-4b1e-9ed1-fb11c41ba67d.jpg', 'https://assets.pawnamerica.com/ProductImages//db7901d5-696b-4e29-a0c8-b8d5b390461f.jpg', 'https://assets.pawnamerica.com/ProductImages//0189946f-0fa7-4acd-b272-d350475424fc.jpg', 'https://assets.pawnamerica.com/ProductImages//6bbb700d-4c4d-430c-bcf2-3bb6697de3c6.jpg']"
Trent Williams Washington Redskins #71 Autographed Jersey,$99.99,23123026190,Football-NFL,"['Player:Trent Williams', 'Sport:Football', 'Color:Red', 'League:Nfl', 'Product:Jersey', 'Team:Washington Redskins', 'Category:Sports Mem - Cards & Fan Shop > Fan Apparel & Souvenirs > Football-NFL']","['https://assets.pawnamerica.com/ProductImages//c233bf6f-bd74-4b21-bcd8-d592294f3c81.jpg', 'https://assets.pawnamerica.com/ProductImages//f64500c1-e427-4405-b213-dfabbb9813af.jpg', 'https://assets.pawnamerica.com/ProductImages//6d14b7ee-f6e7-4470-8eff-395b13571f12.jpg', 'https://assets.pawnamerica.com/ProductImages//f27d508a-374d-4cba-accf-e5c2146382d7.jpg', 'https://assets.pawnamerica.com/ProductImages//28a3ecf3-cb83-4e16-98e7-d24ad51755db.jpg']"
Tennessee Titans Marcus Mariota #8 Signed NFL Jersey,$99.99,23123026191,Football-NFL,"['Player:Marcus Mariota', 'Sport:Football', 'Color:Blue', 'League:Nfl', 'Product:Jersey', 'Size:48', 'Team:Titans', 'Category:Sports Mem - Cards & Fan Shop > Fan Apparel & Souvenirs > Football-NFL']","['https://assets.pawnamerica.com/ProductImages//8d0bf1b6-1cc8-451d-bbff-f4e3d92c7f80.jpg', 'https://assets.pawnamerica.com/ProductImages//ab5b01bb-3cf4-4d77-87ee-1f79e4252c51.jpg', 'https://assets.pawnamerica.com/ProductImages//240f62ec-96dd-4dc0-bd0b-1dfc6d05cd03.jpg', 'https://assets.pawnamerica.com/ProductImages//37ea57fe-6a93-475f-865b-4a05be03b86b.jpg', 'https://assets.pawnamerica.com/ProductImages//2d5b1a5a-ff1d-44d1-b85e-be40ffe8b475.jpg']"
Fandu Big Gold World Heavyweight Wrestling Championship Belt,$199.99,24222026985,Wrestling,"['Product:Belt', 'League:WWE', 'Brand:Fandu', 'Color:Multi-Color', 'Modified Item:No', 'Sport:Wrestling']","['https://assets.pawnamerica.com/ProductImages//3651b855-bd71-4b66-bbd9-695c97bac1f6.jpg', 'https://assets.pawnamerica.com/ProductImages//6a57fd9d-aa8d-463d-afa9-32f4596e3f0f.jpg', 'https://assets.pawnamerica.com/ProductImages//a969612d-4ca3-417c-b75a-1e6cdfdbe49d.jpg', 'https://assets.pawnamerica.com/ProductImages//7ee3dfc4-cec0-429c-8259-c77804cec3f8.jpg', 'https://assets.pawnamerica.com/ProductImages//6ba16300-fa09-4b86-b906-c600b826bcea.jpg', 'https://assets.pawnamerica.com/ProductImages//6aec2e67-7c2b-4c0c-9230-4649fcd24aa1.jpg', 'https://assets.pawnamerica.com/ProductImages//6161dd66-37d6-4463-8b52-d0af9122aff3.jpg']"
Shaquille O'Neil Auto 2003 Topps Certified Mark of Excellence ME-SO Lakers Card,$199.99,24322049317,Trading Card Singles,"['Sport:Basketball', ""Player/Athlete:Shaquille O'Neil"", ""Signed By:Shaquille O'Neil"", 'Manufacturer:Topps', 'Team:Los Angeles Lakers', 'League:National Basketball Association (NBA)', 'Card Name:ME-SO', 'Type:Sports Trading Card', 'Year Manufactured:2003', 'Autograph Authentication:Topps', 'Card Size:Standard', 'Graded:No', 'Autograph Format:Hard Signed', 'Vintage:No', 'Language:English', 'Certification Number:4760268', 'Autograph Authentication Number:4760268']","['https://assets.pawnamerica.com/ProductImages//e1023d4a-a8aa-4b92-b03b-f0b16913e415.JPG', 'https://assets.pawnamerica.com/ProductImages//82b929b7-90df-4603-81bd-57d938946123.JPG', 'https://assets.pawnamerica.com/ProductImages//51147066-5779-450e-ab6d-acb7c7a39e72.JPG', 'https://assets.pawnamerica.com/ProductImages//7c775256-0db2-460c-8a84-40cef044ccd9.JPG', 'https://assets.pawnamerica.com/ProductImages//212b49dd-1517-4c64-afd3-a3526d84d1d0.JPG', 'https://assets.pawnamerica.com/ProductImages//6936ea59-bdf7-4fa7-9044-8f1520aab06e.JPG', 'https://assets.pawnamerica.com/ProductImages//2d975318-28ea-4191-9561-385c14b0318f.JPG', 'https://assets.pawnamerica.com/ProductImages//f1b63cb8-f3f7-4070-bd26-90d6b0978d7c.JPG', 'https://assets.pawnamerica.com/ProductImages//b8a25670-d0d8-490a-a4f9-782cc0c549fb.JPG', 'https://assets.pawnamerica.com/ProductImages//8fcded0b-a196-493f-851f-0e2f0ee5d63b.JPG', 'https://assets.pawnamerica.com/ProductImages//48fc5aad-d01c-43bb-b37d-101941f23f37.JPG', 'https://assets.pawnamerica.com/ProductImages//da34d15b-61d8-479f-9dfc-697e8f6c1bed.JPG']"
NFL Aaron Rodgers Signed Practice Jersey With COA From Green Bay Packers,$1499.99,23123026184,Jerseys,"['Sport:Football-NFL', 'Product:Jersey', 'Original/Reprint:Original', 'Player:Aaron Rodgers', 'Team:Green Bay Packers', 'Autograph Authentication:Yes', 'Modified Item:No', 'Signed:Yes']","['https://assets.pawnamerica.com/ProductImages//d65727aa-1f92-469a-8c42-0738270003dc.JPG', 'https://assets.pawnamerica.com/ProductImages//a0f7a791-a248-43c0-9c3d-27447b865348.JPG', 'https://assets.pawnamerica.com/ProductImages//c3446a0d-f7ea-4960-a651-4bf4964b0bac.JPG', 'https://assets.pawnamerica.com/ProductImages//10421063-b19e-43ab-882c-25284039d42c.JPG', 'https://assets.pawnamerica.com/ProductImages//0252bee9-3882-4c06-931a-80dcf13185f2.JPG', 'https://assets.pawnamerica.com/ProductImages//d6039470-a75b-4fb8-bc17-6a6df843ab22.JPG', 'https://assets.pawnamerica.com/ProductImages//1489afed-8348-412a-93f7-9c199d65a511.JPG']"
Wild Card Patrick Mahomes Dino-MIGHT Alumination AD-PM4 Football Card (1/1),$729.99- $656.98,23721050520,Trading Card Singles,"['Sport:NFL', 'Player/Athlete:Patrick Mahomes', 'Manufacturer:Wild Card', 'Card Name:Dino-MIGHT Alumination', 'Card Number:AD-PM4', 'Print Run:1/1']","['https://assets.pawnamerica.com/ProductImages//24a3b32b-7c2f-430e-9377-da4e5bbd7550.JPG', 'https://assets.pawnamerica.com/ProductImages//58ebf6bc-7234-49be-8415-c457a97cb35f.JPG', 'https://assets.pawnamerica.com/ProductImages//72d411cc-a05f-4d1b-95ac-70af0b0a9030.JPG', 'https://assets.pawnamerica.com/ProductImages//c096f3d2-bd40-452d-871f-4a5178929cdd.JPG', 'https://assets.pawnamerica.com/ProductImages//0b6f5002-3c97-44b0-ae03-4c2ebfb58932.JPG', 'https://assets.pawnamerica.com/ProductImages//6878591a-5ae3-47d1-bf3c-04062f360e8d.JPG', 'https://assets.pawnamerica.com/ProductImages//41172b51-7356-4250-aa75-3b20a6bafe68.JPG']"
2023-2024 Upper Deck Young Guns Connor Bedard ROOKIE #451 Trading Card,$399.99,23721052228,Trading Card Singles,"['Sport:Ice Hockey', 'Player/Athlete:Connor Bedard', 'Manufacturer:Upper Deck', 'League:National Hockey League (NHL)', 'Card Number:#451', 'Type:Sports Trading Card', 'Year Manufactured:2023', 'Graded:No']","['https://assets.pawnamerica.com/ProductImages//75e8fae2-990b-4c2d-bff7-d531bc5d53b7.jpg', 'https://assets.pawnamerica.com/ProductImages//c1980599-d592-4b35-9bf2-770eab10b36a.jpg', 'https://assets.pawnamerica.com/ProductImages//82a1d5d7-4bed-4e73-a78c-e6f6e04a3ef4.jpg', 'https://assets.pawnamerica.com/ProductImages//56ab47c5-f53d-4a77-b781-4a6197c68a2a.jpg', 'https://assets.pawnamerica.com/ProductImages//2f7e0d8f-8bcf-475c-b5e2-caf785e36121.jpg', 'https://assets.pawnamerica.com/ProductImages//76a41ad5-b243-4256-a626-10bfe5c01571.jpg']"
